day,title,hook,bullets,cta,footage_dir,bg_music,duration,brand_color,logo,qr_url,output
21,Soft Skills,Technical + soft skills = Career success,Communication; Leadership; Problem-solving,Develop both • Free,assets/footage,assets/music/track.mp3,25,#f59e0b,assets/logo.png,https://elevateforhumanity.org,day21_soft_skills.mp4
22,Job Placement,95% job placement rate,Career coaching; Interview prep; Employer network,Start today • Tap,assets/footage,assets/music/track.mp3,24,#06b6d4,assets/logo.png,https://elevateforhumanity.org,day22_job_placement.mp4
23,Flexible Learning,Learn on YOUR schedule,Online; Evening; Weekend classes; Self-paced,Enroll free • Link,assets/footage,assets/music/track.mp3,23,#8b5cf6,assets/logo.png,https://elevateforhumanity.org,day23_flexible.mp4
24,High Demand,Top 5 careers hiring RIGHT NOW,Cloud; Cyber; Data; Healthcare; Project mgmt,Explore programs • Tap,assets/footage,assets/music/track.mp3,26,#3b82f6,assets/logo.png,https://elevateforhumanity.org,day24_high_demand.mp4
25,Certification,Why certifications matter MORE than degrees,Industry-recognized; Faster; Lower cost; Proven,Get certified • Free,assets/footage,assets/music/track.mp3,25,#14b8a6,assets/logo.png,https://elevateforhumanity.org,day25_certifications.mp4
26,Success Story,Age is just a number: Started at 50,Never too late; Career change; Thriving now,Your turn • Apply,assets/footage,assets/music/track.mp3,28,#ef4444,assets/logo.png,https://elevateforhumanity.org/success,day26_success_age50.mp4
27,Salary Boost,Average salary increase: $35K,Before/after training; Real numbers; Real people,See the data • Link,assets/footage,assets/music/track.mp3,24,#10b981,assets/logo.png,https://elevateforhumanity.org/outcomes,day27_salary_boost.mp4
28,Community,Join 10K+ students changing their lives,Supportive community; Alumni network; Lifelong,Join us • Tap link,assets/footage,assets/music/track.mp3,25,#ec4899,assets/logo.png,https://elevateforhumanity.org,day28_community.mp4
29,Free Resources,Free career resources you can use TODAY,Resume templates; Interview guides; Career tools,Download free • Link,assets/footage,assets/music/track.mp3,23,#f97316,assets/logo.png,https://elevateforhumanity.org/resources,day29_free_resources.mp4
30,Apply Now,Ready to change your life? Apply NOW,Free training; Job placement; Federal funding,Apply today • Tap link,assets/footage,assets/music/track.mp3,24,#1e40af,assets/logo.png,https://elevateforhumanity.org/apply,day30_apply_now.mp4
